2025-10-08 18:31:48 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:49 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:49 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:50 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:50 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:51 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:51 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:52 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
[2025-10-08 18:31:54] [WD] hb uptime=45s restarts=0 child_alive=True
[2025-10-08 18:31:59] [WD] hb uptime=50s restarts=0 child_alive=True
[2025-10-08 18:32:04] [WD] hb uptime=55s restarts=0 child_alive=True
[2025-10-08 18:32:09] [WD] hb uptime=60s restarts=0 child_alive=True
[2025-10-08 18:32:14] [WD] hb uptime=65s restarts=0 child_alive=True
[2025-10-08 18:32:19] [WD] hb uptime=70s restarts=0 child_alive=True
2025-10-08 18:31:52 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:53 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:53 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:54 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:54 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:55 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:55 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:56 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:56 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:57 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:57 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:58 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:58 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:59 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:59 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:00 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:00 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:01 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
[MD] POLL appended bar 2025-10-08 18:32:00-05:00 close=6811.50 total=366
2025-10-08 18:32:01 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=366 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:02 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:02 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:03 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:03 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:04 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:04 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:05 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:05 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:06 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:06 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:07 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:07 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:08 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:08 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:09 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:09 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:10 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:10 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:11 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:11 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:12 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:12 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:13 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:13 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:14 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:14 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:15 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:15 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:16 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:16 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:17 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:17 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:18 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:18 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:19 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:19 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:20 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:20 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:21 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:21 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=367 | arms=trend 0/0.00, breakout 0/0.00
[MD] POLL appended bar 2025-10-08 18:32:20-05:00 close=6811.25 total=368
2025-10-08 18:32:22 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=368 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:22 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:23 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:23 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:24 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:24 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
