Time,Exit,Direction,PnL
2023-02-01 12:00:00,2023-02-01 17:00:00,Long,-2.5
2023-02-01 22:00:00,2023-02-02 03:00:00,Long,-2.5
2023-02-02 08:00:00,2023-02-02 13:00:00,Long,-2.5
2023-02-02 18:00:00,2023-02-02 23:00:00,Long,-2.5
2023-02-03 04:00:00,2023-02-03 09:00:00,Long,-2.5
2023-02-03 14:00:00,2023-02-03 19:00:00,Long,-2.5
2023-02-04 00:00:00,2023-02-04 05:00:00,Long,-2.5
2023-02-04 10:00:00,2023-02-04 15:00:00,Long,-2.5
2023-02-04 20:00:00,2023-02-05 01:00:00,Long,-2.5
2023-02-05 06:00:00,2023-02-05 11:00:00,Long,-2.5
2023-02-05 16:00:00,2023-02-05 21:00:00,Long,-2.5
2023-02-06 02:00:00,2023-02-06 07:00:00,Long,-2.5
2023-02-06 12:00:00,2023-02-06 17:00:00,Long,-2.5
2023-02-06 22:00:00,2023-02-07 03:00:00,Long,-2.5
2023-02-07 08:00:00,2023-02-07 13:00:00,Long,-2.5
2023-02-07 18:00:00,2023-02-07 23:00:00,Long,-2.5
2023-02-08 04:00:00,2023-02-08 09:00:00,Long,-2.5
2023-02-08 14:00:00,2023-02-08 19:00:00,Long,-2.5
2023-02-09 00:00:00,2023-02-09 05:00:00,Long,-2.5
2023-02-09 10:00:00,2023-02-09 15:00:00,Long,-2.5
2023-02-09 20:00:00,2023-02-10 01:00:00,Long,-2.5
2023-02-10 06:00:00,2023-02-10 11:00:00,Long,-2.5
2023-02-10 16:00:00,2023-02-10 21:00:00,Long,-2.5
2023-02-11 02:00:00,2023-02-11 07:00:00,Long,-2.5
