============================================================
[START] 2025-09-08 12:44:46
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --conId 637533641 --tp-ladder 1.0R:50,2.0R:50 --no-confirm --place-orders --debug-regime --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-08 12:44:47 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[LOG] 2025-09-08 12:44:47 [PING 1] clientId=19 connected: False
[LOG] 2025-09-08 12:44:47 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[LOG] 2025-09-08 12:44:47 Using contract: ESU5  (conId=637533641)
[LOG] 2025-09-08 12:44:47 [WARMUP] Fetching 5d of 1m bars...
[LOG] 2025-09-08 12:44:49 [WARMUP] Loaded 7845 historical 1m bars.
[HB] 2025-09-08 12:46:34 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:35 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:36 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:37 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:38 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:39 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:40 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=39.9  BBbw=0.0004  ATR%=0.000063  (ok=False)
[HB] 2025-09-08 12:46:41 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:42 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:43 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:44 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:45 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:46 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:48 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:49 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:50 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:51 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:52 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:53 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:54 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:55 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:56 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=46.0  BBbw=0.0004  ATR%=0.000059  (ok=False)
[HB] 2025-09-08 12:46:57 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:58 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:59 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:00 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:01 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:02 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:03 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:04 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:06 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:07 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:08 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:09 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:10 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:11 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:12 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=39.3  BBbw=0.0004  ATR%=0.000056  (ok=False)
[HB] 2025-09-08 12:47:13 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:14 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:15 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:16 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:17 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:18 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:19 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:20 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:21 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:22 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:23 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:25 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:26 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:27 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:28 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=30.5  BBbw=0.0004  ATR%=0.000062  (ok=False)
[HB] 2025-09-08 12:47:29 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:30 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:31 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:32 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:33 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:34 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:35 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:36 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:37 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:38 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:39 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:40 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:41 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:43 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:44 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=23.0  BBbw=0.0003  ATR%=0.000048  (ok=False)
[HB] 2025-09-08 12:47:45 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:46 CT PnL=0.00 | ChooserArm=mom | Gate=no
