[INFO] 2025-09-12 15:24:50 Enabled arms: trend,breakout
[INFO] 2025-09-12 15:24:50 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[INFO] 2025-09-12 15:24:50 [PING 1] clientId=29 connected: False
[INFO] 2025-09-12 15:24:50 Connected 127.0.0.1:7497 clientId=29 | Market data type: LIVE
[INFO] 2025-09-12 15:24:50 Using contract: ESU5  (conId=637533641)
[INFO] 2025-09-12 15:24:50 [WARMUP] Fetching 5d of 1m bars...
[INFO] 2025-09-12 15:24:52 [WARMUP] Loaded 6865 historical 1m bars.
[REGIME] ADX=15.5  BBbw=0.0003  ATR%=0.000096  (ok=False)
[INFO] 2025-09-12 15:24:53 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.852 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.852
[HB] 2025-09-12 15:25:53 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[REGIME] ADX=20.8  BBbw=0.0001  ATR%=0.000028  (ok=False)
[INFO] 2025-09-12 15:25:54 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.672 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.672
[HB] 2025-09-12 15:25:54 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:55 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:56 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:58 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:59 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:00 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:01 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:02 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:03 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:04 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:05 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:06 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:07 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:09 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[REGIME] ADX=21.0  BBbw=0.0001  ATR%=0.000018  (ok=False)
[HB] 2025-09-12 15:26:10 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:11 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:12 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:13 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:14 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:15 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:16 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:17 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:18 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:19 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:21 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:22 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:23 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:24 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[REGIME] ADX=19.1  BBbw=0.0001  ATR%=0.000020  (ok=False)
[HB] 2025-09-12 15:26:25 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:26 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:27 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:28 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:29 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:30 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:31 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:33 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:34 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:35 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:36 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:37 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:38 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:39 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[REGIME] ADX=16.8  BBbw=0.0001  ATR%=0.000021  (ok=False)
[HB] 2025-09-12 15:26:40 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:41 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:42 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:44 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:45 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:46 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:47 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:48 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:49 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:50 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:51 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:52 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:53 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[INFO] 2025-09-12 15:26:54 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.645 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.645
[HB] 2025-09-12 15:26:54 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[REGIME] ADX=16.4  BBbw=0.0001  ATR%=0.000022  (ok=False)
[HB] 2025-09-12 15:26:56 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:57 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:58 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:26:59 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:00 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:01 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:02 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:03 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:04 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:05 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:06 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:08 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:09 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:10 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[REGIME] ADX=17.6  BBbw=0.0001  ATR%=0.000024  (ok=False)
[HB] 2025-09-12 15:27:11 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:12 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:13 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:14 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:15 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:16 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:17 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:18 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:19 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:21 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:22 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:23 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:24 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:25 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[REGIME] ADX=16.7  BBbw=0.0001  ATR%=0.000021  (ok=False)
[HB] 2025-09-12 15:27:26 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:27 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:28 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:29 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:30 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:31 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:33 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:34 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:35 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:36 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:37 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:38 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:39 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:40 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[REGIME] ADX=22.0  BBbw=0.0001  ATR%=0.000013  (ok=False)
[HB] 2025-09-12 15:27:41 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:42 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:43 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:44 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:46 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:27:47 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=no
