============================================================
[START] 2025-09-09 14:26:42
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --conId 637533641 --tp-ladder 1.0R:50,2.0R:50 --no-confirm --place-orders --debug-regime --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-09 14:26:43 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[HB] 2025-09-09 14:30:32 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:33 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:34 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:35 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:36 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:37 CT Arm=ema Gate=no InTrade=N
[REGIME] ADX=29.0  BBbw=0.0002  ATR%=0.000042  (ok=False)
[HB] 2025-09-09 14:30:38 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:39 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:40 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:41 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:42 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:43 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:44 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:45 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:46 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:47 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:48 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:49 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:50 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:51 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:52 CT Arm=ema Gate=no InTrade=N
[REGIME] ADX=35.7  BBbw=0.0001  ATR%=0.000045  (ok=False)
[HB] 2025-09-09 14:30:53 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:54 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:55 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:56 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:57 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:58 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:59 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:00 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:01 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:02 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:03 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:05 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:06 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:07 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:08 CT Arm=vwap_bounce Gate=no InTrade=N
[REGIME] ADX=42.5  BBbw=0.0001  ATR%=0.000048  (ok=False)
[HB] 2025-09-09 14:31:09 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:10 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:11 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:12 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:13 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:14 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:15 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:16 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:17 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:18 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:19 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:20 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:21 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:22 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:23 CT Arm=vwap_bounce Gate=no InTrade=N
[REGIME] ADX=57.8  BBbw=0.0003  ATR%=0.000057  (ok=False)
[HB] 2025-09-09 14:31:24 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:25 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:26 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:27 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:28 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:29 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:30 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:31 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:32 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:33 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:34 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:35 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:36 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:38 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:39 CT Arm=vwap_bounce Gate=no InTrade=N
[REGIME] ADX=46.6  BBbw=0.0003  ATR%=0.000056  (ok=False)
[HB] 2025-09-09 14:31:40 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:41 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:31:42 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:43 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:44 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:45 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:46 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:47 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:48 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:49 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:50 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:51 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:52 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:31:53 CT Arm=ema Gate=no InTrade=N
