============================================================
[START] 2025-09-09 13:27:55
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --tp-ladder 1.0R:50,2.0R:50 --no-confirm --place-orders --debug-regime --conId 637533641 --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-09 13:27:55 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[HB] 2025-09-09 13:29:59 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:30:00 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:30:01 CT Arm=vwap_bounce Gate=no InTrade=N
[REGIME] ADX=18.5  BBbw=0.0002  ATR%=0.000048  (ok=False)
[HB] 2025-09-09 13:30:02 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:03 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:04 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:05 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:06 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:07 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:08 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:09 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:10 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:11 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:12 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:13 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:14 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:15 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:16 CT Arm=vwap_bounce Gate=no InTrade=N
[REGIME] ADX=18.7  BBbw=0.0002  ATR%=0.000054  (ok=False)
[HB] 2025-09-09 13:30:18 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:19 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:20 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:21 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:22 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:23 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:24 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:25 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:26 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:27 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:28 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:29 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:30 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:31 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:32 CT Arm=vwap_bounce Gate=no InTrade=N
[REGIME] ADX=24.1  BBbw=0.0003  ATR%=0.000053  (ok=False)
[HB] 2025-09-09 13:30:33 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:34 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:35 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:36 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:37 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:38 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:39 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:40 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:41 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:42 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:43 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:44 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 13:30:45 CT Arm=vwap_bounce Gate=no InTrade=N
